i,tag,count,pos0,anchor,anchor_pos,byte,offset
0,commit,32,0,,,,
1,commit,20,32,,,,
2,commit,1,52,,,,
3,forward,,,25,52,,
4,fwd_intermediates,,,,52,,
5,commit,1,53,,,,
6,forward,,,6771,53,,
7,fwd_intermediates,,,,53,,
8,commit,1,54,,,,
9,forward,,,594,54,,
10,fwd_intermediates,,,,54,,
11,commit,4,55,,,,
12,forward,,,3019,58,,
13,fwd_intermediates,,,,58,,
14,commit,3,59,,,,
15,forward,,,382,61,,
16,fwd_intermediates,,,,61,,
17,commit,1,62,,,,
18,forward,,,8303,62,,
19,fwd_intermediates,,,,62,,
20,commit,2,63,,,,
