accepted_histogram,accepted_per_round,bigram_repeat,case,dataset,distinct,distinct_ratio,draft_ms_per_round,empty_rounds,fallback_total_ms,gap_mean,gap_median,gap_n,gap_p25,gen_len,generated,hierarchy,hist_total,host_cache,kind,max_run,mode,ms_per_token,n_prompt_lines,odirect,path,prefetch,prompt_s,prompt_tokens,rounds,row_index,top1_share,top1_token,variant,verified_rounds,verify_k,verify_ms_per_verified_round,vram_cache
"{""0"": 4, ""2"": 1, ""3"": 1, ""4"": 1, ""6"": 2, ""7"": 1}",3.2,0.0,gsm8k-1159-dflash,gsm8k,22,0.6875,17.2,4,2290.1,2.0051,2.0051,1,2.0051,32,32,"[""9.762"", ""41.024"", ""0.26""]",10,"[""3366"", ""12926"", ""26.0"", ""44.376"", ""2425""]",dflash,1,dflash,549.0,1,"[""1.556"", ""37.515"", ""0.04""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/gsm8k-1159-dflash.log,"[""942"", ""9894"", ""325"", ""8.701""]",40.758,93,10,1159,0.125,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,6,7,2517.4,"[""0"", ""12926"", ""0.0"", ""0.000"", ""208""]"
,,0.0,gsm8k-1159-scalar,gsm8k,22,0.6875,,,,8.3324,10.1753,32,3.8023,32,32,"[""9.762"", ""36.843"", ""0.28""]",,"[""3337"", ""12926"", ""25.8"", ""43.994"", ""2425""]",scalar,1,scalar,562.84,32,"[""1.556"", ""33.676"", ""0.05""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/gsm8k-1159-scalar.log,"[""942"", ""9920"", ""322"", ""8.675""]",36.809,93,,1159,0.125,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""12926"", ""0.0"", ""0.000"", ""323""]"
"{""2"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 1}",4.57,0.0,gsm8k-893-dflash,gsm8k,25,0.7812,17.6,0,0.0,0.5668,0.5668,1,0.5668,32,32,"[""9.669"", ""39.073"", ""0.27""]",7,"[""2508"", ""10583"", ""23.7"", ""33.064"", ""2425""]",dflash,1,dflash,636.2,1,"[""1.463"", ""35.448"", ""0.04""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/gsm8k-893-dflash.log,"[""887"", ""8339"", ""217"", ""7.910""]",38.101,76,7,893,0.0938,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,7,7,2889.8,"[""0"", ""10583"", ""0.0"", ""0.000"", ""208""]"
,,0.0,gsm8k-893-scalar,gsm8k,25,0.7812,,,,7.5314,8.4061,32,3.2153,32,32,"[""9.669"", ""39.576"", ""0.26""]",,"[""2833"", ""10583"", ""26.8"", ""37.349"", ""2425""]",scalar,1,scalar,578.16,32,"[""1.463"", ""36.238"", ""0.04""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/gsm8k-893-scalar.log,"[""887"", ""8006"", ""215"", ""7.831""]",38.844,76,,893,0.0938,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""10583"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 1}",2.91,0.0,math500-209-dflash,math500,25,0.7812,17.5,3,1489.8,5.1144,5.1144,1,5.1144,32,32,"[""9.814"", ""31.425"", ""0.34""]",11,"[""1419"", ""9113"", ""15.6"", ""18.708"", ""2425""]",dflash,1,dflash,736.3,1,"[""1.608"", ""28.160"", ""0.06""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/math500-209-dflash.log,"[""541"", ""7783"", ""158"", ""5.128""]",29.88,65,11,209,0.0625,14128,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,8,7,2729.2,"[""0"", ""9113"", ""0.0"", ""0.000"", ""208""]"
,,0.0,math500-209-scalar,math500,25,0.7812,,,,6.6984,7.3186,32,2.3535,32,32,"[""9.814"", ""29.099"", ""0.36""]",,"[""1284"", ""9113"", ""14.1"", ""16.928"", ""2425""]",scalar,1,scalar,609.69,32,"[""1.608"", ""25.126"", ""0.07""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/math500-209-scalar.log,"[""541"", ""7925"", ""162"", ""5.234""]",26.735,65,,209,0.0625,14128,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""9113"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 4, ""1"": 1, ""4"": 2, ""5"": 1, ""7"": 2}",3.2,0.0,math500-212-dflash,math500,20,0.625,17.0,4,2493.5,0.7795,0.7795,1,0.7795,32,32,"[""9.893"", ""38.195"", ""0.28""]",10,"[""3144"", ""12294"", ""25.6"", ""41.449"", ""2425""]",dflash,1,dflash,579.8,1,"[""1.688"", ""35.131"", ""0.05""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/math500-212-dflash.log,"[""930"", ""9523"", ""375"", ""8.873""]",38.122,91,10,212,0.1562,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,6,7,2646.6,"[""0"", ""12294"", ""0.0"", ""0.000"", ""208""]"
,,0.0,math500-212-scalar,math500,20,0.625,,,,5.9949,6.2888,32,2.4971,32,32,"[""9.893"", ""38.704"", ""0.27""]",,"[""3007"", ""12294"", ""24.5"", ""39.643"", ""2425""]",scalar,1,scalar,565.78,32,"[""1.688"", ""35.251"", ""0.05""]",/var/lib/insignia/bench-results/s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7/math500-212-scalar.log,"[""930"", ""9666"", ""374"", ""8.925""]",37.984,91,,212,0.1562,220,s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""12294"", ""0.0"", ""0.000"", ""323""]"
"{""0"": 4, ""2"": 1, ""3"": 1, ""4"": 1, ""6"": 2, ""7"": 1}",3.2,0.0,gsm8k-1159-dflash,gsm8k,22,0.6875,17.0,4,2300.7,2.0051,2.0051,1,2.0051,32,32,"[""9.762"", ""36.934"", ""0.28""]",10,"[""3370"", ""12926"", ""26.1"", ""44.429"", ""2425""]",dflash,1,dflash,570.3,1,"[""1.556"", ""33.327"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-1159-dflash.log,"[""942"", ""9888"", ""325"", ""8.675""]",36.398,93,10,1159,0.125,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,6,7,2629.3,"[""0"", ""12926"", ""0.0"", ""0.000"", ""208""]"
,,0.0,gsm8k-1159-scalar,gsm8k,22,0.6875,,,,8.3324,10.1753,32,3.8023,32,32,"[""9.762"", ""36.489"", ""0.29""]",,"[""3242"", ""12926"", ""25.1"", ""42.741"", ""2425""]",scalar,1,scalar,543.53,32,"[""1.556"", ""32.929"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-1159-scalar.log,"[""942"", ""10020"", ""324"", ""8.728""]",35.975,93,,1159,0.125,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""12926"", ""0.0"", ""0.000"", ""323""]"
"{""2"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 1}",4.57,0.0,gsm8k-893-dflash,gsm8k,25,0.7812,17.6,0,0.0,0.5668,0.5668,1,0.5668,32,32,"[""9.669"", ""38.145"", ""0.27""]",7,"[""2432"", ""10583"", ""23.0"", ""32.063"", ""2425""]",dflash,1,dflash,625.6,1,"[""1.463"", ""34.356"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-893-dflash.log,"[""887"", ""8408"", ""217"", ""7.805""]",36.758,76,7,893,0.0938,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,7,7,2841.7,"[""0"", ""10583"", ""0.0"", ""0.000"", ""207""]"
,,0.0,gsm8k-893-scalar,gsm8k,25,0.7812,,,,7.5314,8.4061,32,3.2153,32,32,"[""9.669"", ""34.856"", ""0.30""]",,"[""2599"", ""10583"", ""24.6"", ""34.264"", ""2425""]",scalar,1,scalar,509.09,32,"[""1.463"", ""31.546"", ""0.05""]",/var/lib/insignia/bench-results/s6-vramtier --samples 1 --generate 32 --verify-k 7/gsm8k-893-scalar.log,"[""887"", ""8259"", ""226"", ""7.989""]",33.873,76,,893,0.0938,220,s6-vramtier --samples 1 --generate 32 --verify-k 7,,,,"[""0"", ""10583"", ""0.0"", ""0.000"", ""323""]"
