variant,case,k,host_hits,host_lookups,host_hit_pct,avoided_gib,slots,vram_hits,vram_lookups,vram_slots,nvme_gib,nvme_s,nvme_gbps,nvme_records_total,nvme_records_per_round,union_hits_pct
s6-c64 --binar,gsm8k-1159-dflash,7,3366,12926,26.0,44.376,2425,0,12926,208,1.556,37.515,0.04,117.5,11.75,
s6-c64 --binar,gsm8k-893-dflash,7,2508,10583,23.7,33.064,2425,0,10583,208,1.463,35.448,0.04,110.5,15.78,
s6-c64 --binar,math500-209-dflash,7,1419,9113,15.6,18.708,2425,0,9113,208,1.608,28.160,0.06,121.4,11.04,
s6-c64 --binar,math500-212-dflash,7,3144,12294,25.6,41.449,2425,0,12294,208,1.688,35.131,0.05,127.5,12.75,
s6-vramtier --,gsm8k-1159-dflash,7,3370,12926,26.1,44.429,2425,0,12926,208,1.556,33.327,0.05,117.5,11.75,
s6-vramtier --,gsm8k-893-dflash,7,2432,10583,23.0,32.063,2425,0,10583,207,1.463,34.356,0.05,110.5,15.78,
s6-vramtier --,math500-209-dflash,7,1892,9113,20.8,24.943,2425,0,9113,208,1.608,31.417,0.05,121.4,11.04,
s6-vramtier --,math500-212-dflash,7,2991,12294,24.3,39.432,2425,0,12294,208,1.688,41.717,0.04,127.5,12.75,
s6-baseline,gsm8k-895-dflash,7,396,11641,3.4,5.221,2425,,,,148.250,97.679,1.63,11195.3,5597.64,
s6-baseline,math500-162-dflash,7,387,11594,3.3,5.102,2425,,,,147.749,96.867,1.64,11157.4,2789.36,
math,gsm8k-1033-dflash,4,397,12005,3.3,5.234,2425,,,,153.035,43.875,3.75,11556.6,1155.66,
math,gsm8k-108-dflash,4,640,15053,4.3,8.438,2425,,,,190.015,54.419,3.75,14349.2,1024.94,
math,gsm8k-1207-dflash,4,490,12929,3.8,6.460,2425,,,,163.991,40.637,4.33,12384.0,1032.0,
math,gsm8k-151-dflash,4,729,16577,4.4,9.611,2425,,,,208.934,59.960,3.74,15777.9,1314.83,
math,gsm8k-2-dflash,4,310,11002,2.8,4.087,2425,,,,140.959,39.900,3.79,10644.7,887.06,
math,gsm8k-404-dflash,4,256,9903,2.6,3.375,2425,,,,127.182,36.169,3.78,9604.3,800.36,
math,gsm8k-511-dflash,4,137,8663,1.6,1.806,2425,,,,112.403,32.100,3.76,8488.3,771.66,
math,gsm8k-537-dflash,4,383,12661,3.0,5.049,2425,,,,161.868,46.042,3.77,12223.7,1222.37,
math,gsm8k-636-dflash,4,274,10744,2.6,3.612,2425,,,,138.032,30.528,4.85,10423.7,651.48,
math,gsm8k-756-dflash,4,349,11759,3.0,4.601,2425,,,,150.425,42.823,3.77,11359.5,757.3,
