class,b_ms_per_record,position_i,marginal_cost_ms,p_i,marginal_tok_per_s,avg_T_at_k,include_if
gsm8k,0.613,2,151.9,0.6532,4.301,3.042,
gsm8k,0.613,3,152.8,0.5323,3.484,6.425,
gsm8k,0.613,4,143.5,0.3952,2.754,5.574,
gsm8k,0.613,5,108.8,0.0,0.0,4.972,
gsm8k,0.613,6,89.9,0.0,0.0,4.278,
gsm8k,0.613,7,70.6,0.0,0.0,3.837,
gsm8k,1.8,2,446.0,0.6532,1.465,3.042,
gsm8k,1.8,3,448.6,0.5323,1.187,2.257,
gsm8k,1.8,4,421.3,0.3952,0.938,1.941,
gsm8k,1.8,5,319.5,0.0,0.0,1.723,
gsm8k,1.8,6,263.8,0.0,0.0,1.479,
gsm8k,1.8,7,207.2,0.0,0.0,1.324,
campaign,0.613,2,151.9,0.8824,5.81,3.358,
campaign,0.613,3,152.8,0.8235,5.391,7.523,
campaign,0.613,4,143.5,0.8235,5.74,6.906,
campaign,0.613,5,108.8,0.8235,7.568,6.657,
campaign,0.613,6,89.9,0.7647,8.511,6.784,
campaign,0.613,7,70.6,0.7647,10.837,6.963,
campaign,1.8,2,446.0,0.8824,1.979,3.358,
campaign,1.8,3,448.6,0.8235,1.836,2.643,
campaign,1.8,4,421.3,0.8235,1.955,2.404,
campaign,1.8,5,319.5,0.8235,2.577,2.307,
campaign,1.8,6,263.8,0.7647,2.898,2.345,
campaign,1.8,7,207.2,0.7647,3.69,2.403,
