variant,case,k_max,prompt_tokens,generated,rounds,empty,accepted_per_round,E_m_hist,E_len,ms_per_token,draft_ms,verify_ms,verified_rounds,fallback_ms_empty_mean,hist,gen_distinct_ratio,gen_bigram_repeat,gap_median,T_tok_s,speedup_vs_scalar_570_9,be_E_m_at_wall
s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,gsm8k-1159-dflash,7,93,32,10,4,3.2,2.8,3.8,549.0,17.2,2517.4,6,572.5,"{""0"": 4, ""2"": 1, ""3"": 1, ""4"": 1, ""6"": 2, ""7"": 1}",0.6875,0.0,2.0051,1.821,1.04,3.44
s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,gsm8k-893-dflash,7,76,32,7,0,4.57,4.571,5.571,636.2,17.6,2889.8,7,,"{""2"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 1}",0.7812,0.0,0.5668,1.572,0.897,4.09
s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,math500-209-dflash,7,65,32,11,3,2.91,2.636,3.636,736.3,17.5,2729.2,8,496.6,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 1}",0.7812,0.0,5.1144,1.358,0.775,3.81
s6-c64 --binary /var/tmp/insignia-build-c64/glm53-generate --samples 1 --generate 32 --verify-k 7,math500-212-dflash,7,91,32,10,4,3.2,2.8,3.8,579.8,17.0,2646.6,6,623.4,"{""0"": 4, ""1"": 1, ""4"": 2, ""5"": 1, ""7"": 2}",0.625,0.0,0.7795,1.725,0.985,3.67
s6-vramtier --samples 1 --generate 32 --verify-k 7,gsm8k-1159-dflash,7,93,32,10,4,3.2,2.8,3.8,570.3,17.0,2629.3,6,575.2,"{""0"": 4, ""2"": 1, ""3"": 1, ""4"": 1, ""6"": 2, ""7"": 1}",0.6875,0.0,2.0051,1.753,1.001,3.64
s6-vramtier --samples 1 --generate 32 --verify-k 7,gsm8k-893-dflash,7,76,32,7,0,4.57,4.571,5.571,625.6,17.6,2841.7,7,,"{""2"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 1}",0.7812,0.0,0.5668,1.598,0.913,4.01
s6-vramtier --samples 1 --generate 32 --verify-k 7,math500-209-dflash,7,65,32,11,3,2.91,2.636,3.636,837.8,17.9,3114.1,8,554.0,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 2, ""5"": 1, ""6"": 1, ""7"": 1}",0.7812,0.0,5.1144,1.194,0.681,4.49
s6-vramtier --samples 1 --generate 32 --verify-k 7,math500-212-dflash,7,91,32,10,4,3.2,2.8,3.8,629.5,17.3,2880.1,6,671.0,"{""0"": 4, ""1"": 1, ""4"": 2, ""5"": 1, ""7"": 2}",0.625,0.0,0.7795,1.589,0.907,4.08
s6-baseline,gsm8k-895-dflash,7,84,4,2,1,2.0,1.5,2.5,1838.3,25.6,5054.3,1,2247.4,"{""0"": 1, ""3"": 1}",1.0,0.0,0.2944,0.544,0.311,7.9
s6-baseline,math500-162-dflash,7,78,4,4,3,1.0,0.25,1.25,862.2,19.9,2231.9,1,378.2,"{""0"": 3, ""1"": 1}",1.0,0.0,5.8985,1.16,0.662,2.94
math,gsm8k-1033-dflash,4,86,32,10,1,3.2,3.1,4.1,583.2,17.8,1946.7,9,957.7,"{""0"": 1, ""2"": 2, ""3"": 1, ""4"": 6}",0.6875,0.0,3.0334,1.715,0.979,2.44
math,gsm8k-108-dflash,4,106,32,14,5,2.29,1.929,2.929,633.9,17.3,1774.0,9,814.4,"{""0"": 5, ""1"": 2, ""2"": 1, ""3"": 1, ""4"": 5}",0.6562,0.0,0.3461,1.578,0.901,2.14
math,gsm8k-1207-dflash,4,97,32,12,4,2.67,2.333,3.333,507.8,17.8,1681.7,8,643.2,"{""0"": 4, ""2"": 1, ""3"": 2, ""4"": 5}",0.6875,0.0,0.8789,1.969,1.124,1.98
math,gsm8k-151-dflash,4,119,32,12,3,2.67,2.417,3.417,770.5,18.2,2409.2,9,916.0,"{""0"": 3, ""2"": 3, ""3"": 1, ""4"": 5}",0.5,0.0,1.4693,1.298,0.741,3.25
math,gsm8k-2-dflash,4,78,32,12,1,2.67,2.583,3.583,683.9,17.6,1879.5,11,992.2,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 2, ""4"": 5}",0.7188,0.0,3.3269,1.462,0.835,2.32
math,gsm8k-404-dflash,4,69,32,12,2,2.67,2.5,3.5,678.4,17.8,2014.0,10,676.4,"{""0"": 2, ""1"": 2, ""2"": 2, ""4"": 6}",0.6562,0.0,1.4257,1.474,0.842,2.56
