pool,k_label,m,count,P_m_given_k
r12_fixed_k7_m_if_verified,kif,0,0,0.0
r12_fixed_k7_m_if_verified,kif,1,3,0.5
r12_fixed_k7_m_if_verified,kif,2,1,0.1667
r12_fixed_k7_m_if_verified,kif,3,1,0.1667
r12_fixed_k7_m_if_verified,kif,4,1,0.1667
r12_fixed_k7_m_if_verified,kif,5,0,0.0
r12_fixed_k7_m_if_verified,kif,6,0,0.0
r12_fixed_k7_m_if_verified,kif,7,0,0.0
r12_fixed_k7_m_if_empty,kif,0,3,0.5
r12_fixed_k7_m_if_empty,kif,1,0,0.0
r12_fixed_k7_m_if_empty,kif,2,1,0.1667
r12_fixed_k7_m_if_empty,kif,3,1,0.1667
r12_fixed_k7_m_if_empty,kif,4,1,0.1667
r12_fixed_k7_m_if_empty,kif,5,0,0.0
r12_fixed_k7_m_if_empty,kif,6,0,0.0
r12_fixed_k7_m_if_empty,kif,7,0,0.0
campaign_fixed_k4,k,0,1,0.037
campaign_fixed_k4,k,1,1,0.037
campaign_fixed_k4,k,2,1,0.037
campaign_fixed_k4,k,3,0,0.0
campaign_fixed_k4,k,4,24,0.8889
campaign_fixed_k4,k,5,0,0.0
campaign_fixed_k4,k,6,0,0.0
campaign_fixed_k4,k,7,0,0.0
campaign_fixed_k7,k,0,1,0.0588
campaign_fixed_k7,k,1,1,0.0588
campaign_fixed_k7,k,2,1,0.0588
campaign_fixed_k7,k,3,0,0.0
campaign_fixed_k7,k,4,0,0.0
campaign_fixed_k7,k,5,1,0.0588
campaign_fixed_k7,k,6,0,0.0
campaign_fixed_k7,k,7,13,0.7647
