pool,k_label,m,count,P_m_given_k
k4_gsm8k,k4,0,30,0.2419
k4_gsm8k,k4,1,13,0.1048
k4_gsm8k,k4,2,15,0.121
k4_gsm8k,k4,3,17,0.1371
k4_gsm8k,k4,4,49,0.3952
k7_gsm8k_math500,k7,0,22,0.2895
k7_gsm8k_math500,k7,1,4,0.0526
k7_gsm8k_math500,k7,2,8,0.1053
k7_gsm8k_math500,k7,3,10,0.1316
k7_gsm8k_math500,k7,4,6,0.0789
k7_gsm8k_math500,k7,5,6,0.0789
k7_gsm8k_math500,k7,6,10,0.1316
k7_gsm8k_math500,k7,7,10,0.1316
k7_baseline_gen4,k7,0,4,0.6667
k7_baseline_gen4,k7,1,1,0.1667
k7_baseline_gen4,k7,2,0,0.0
k7_baseline_gen4,k7,3,1,0.1667
