pool,position_i,p_i_accept,E_m_prefix
k4_gsm8k,1,0.7581,0.7581
k4_gsm8k,2,0.6532,1.4113
k4_gsm8k,3,0.5323,1.9435
k4_gsm8k,4,0.3952,2.3387
k4_gsm8k,5,0.0,2.3387
k4_gsm8k,6,0.0,2.3387
k4_gsm8k,7,0.0,2.3387
k7_gsm8k_math500,1,0.7105,0.7105
k7_gsm8k_math500,2,0.6579,1.3684
k7_gsm8k_math500,3,0.5526,1.9211
k7_gsm8k_math500,4,0.4211,2.3421
k7_gsm8k_math500,5,0.3421,2.6842
k7_gsm8k_math500,6,0.2632,2.9474
k7_gsm8k_math500,7,0.1316,3.0789
campaign_fixed_k4,1,0.963,0.963
campaign_fixed_k4,2,0.9259,1.8889
campaign_fixed_k4,3,0.8889,2.7778
campaign_fixed_k4,4,0.8889,3.6667
campaign_fixed_k4,5,0.0,3.6667
campaign_fixed_k4,6,0.0,3.6667
campaign_fixed_k4,7,0.0,3.6667
campaign_fixed_k7,1,0.9412,0.9412
campaign_fixed_k7,2,0.8824,1.8235
campaign_fixed_k7,3,0.8235,2.6471
campaign_fixed_k7,4,0.8235,3.4706
campaign_fixed_k7,5,0.8235,4.2941
campaign_fixed_k7,6,0.7647,5.0588
campaign_fixed_k7,7,0.7647,5.8235
r12_fixed_k7_m_if_verified,1,1.0,1.0
r12_fixed_k7_m_if_verified,2,0.5,1.5
r12_fixed_k7_m_if_verified,3,0.3333,1.8333
r12_fixed_k7_m_if_verified,4,0.1667,2.0
r12_fixed_k7_m_if_verified,5,0.0,2.0
r12_fixed_k7_m_if_verified,6,0.0,2.0
r12_fixed_k7_m_if_verified,7,0.0,2.0
