class,b_ms_per_record,k,E_m,E_len,d_k,round_cost_ms,tokens_per_s,speedup_vs_scalar,break_even_E_m
gsm8k,0.613,1,0.758,1.758,336.0,578.0,3.042,1.736,0.01
gsm8k,0.613,2,1.411,2.411,583.8,375.3,6.425,3.668,-0.34
gsm8k,0.613,3,1.944,2.944,833.0,528.1,5.574,3.182,-0.08
gsm8k,0.613,4,2.339,3.339,1067.0,671.5,4.972,2.838,0.18
gsm8k,0.613,5,2.339,3.339,1244.5,780.3,4.278,2.443,0.37
gsm8k,0.613,6,2.339,3.339,1391.1,870.2,3.837,2.19,0.52
gsm8k,0.613,7,2.339,3.339,1506.2,940.8,3.549,2.026,0.65
gsm8k,1.8,1,0.758,1.758,336.0,578.0,3.042,1.736,0.01
gsm8k,1.8,2,1.411,2.411,583.8,1068.2,2.257,1.289,0.87
gsm8k,1.8,3,1.944,2.944,833.0,1516.8,1.941,1.108,1.66
gsm8k,1.8,4,2.339,3.339,1067.0,1938.1,1.723,0.983,2.39
gsm8k,1.8,5,2.339,3.339,1244.5,2257.6,1.479,0.844,2.95
gsm8k,1.8,6,2.339,3.339,1391.1,2521.4,1.324,0.756,3.42
gsm8k,1.8,7,2.339,3.339,1506.2,2728.6,1.224,0.699,3.78
gsm8k,measured_1row,1,0.758,1.758,336.0,578.0,3.042,1.736,0.01
campaign,0.613,1,0.941,1.941,336.0,578.0,3.358,1.917,0.01
campaign,0.613,2,1.824,2.824,583.8,375.3,7.523,4.295,-0.34
campaign,0.613,3,2.647,3.647,833.0,528.1,6.906,3.943,-0.08
campaign,0.613,4,3.471,4.471,1067.0,671.5,6.657,3.801,0.18
campaign,0.613,5,4.294,5.294,1244.5,780.3,6.784,3.873,0.37
campaign,0.613,6,5.059,6.059,1391.1,870.2,6.963,3.975,0.52
campaign,0.613,7,5.824,6.824,1506.2,940.8,7.253,4.141,0.65
campaign,1.8,1,0.941,1.941,336.0,578.0,3.358,1.917,0.01
campaign,1.8,2,1.824,2.824,583.8,1068.2,2.643,1.509,0.87
campaign,1.8,3,2.647,3.647,833.0,1516.8,2.404,1.373,1.66
campaign,1.8,4,3.471,4.471,1067.0,1938.1,2.307,1.317,2.39
campaign,1.8,5,4.294,5.294,1244.5,2257.6,2.345,1.339,2.95
campaign,1.8,6,5.059,6.059,1391.1,2521.4,2.403,1.372,3.42
campaign,1.8,7,5.824,6.824,1506.2,2728.6,2.501,1.428,3.78
campaign,measured_1row,1,0.941,1.941,336.0,578.0,3.358,1.917,0.01
