family,side_information,beta,normalized_distortion,rate_bits_per_probe_scalar
independent_random,coordinate-only,0.0,0.9477081298828125,0.0
independent_random,coordinate-only,0.1,0.9473048138332179,0.0004270237481768575
independent_random,coordinate-only,0.3,0.9296223708880615,0.0061224680608052496
independent_random,coordinate-only,1.0,0.4845783302376762,0.44080171376660404
independent_random,coordinate-only,3.0,0.153895554025889,1.2426479723271213
independent_random,coordinate-only,10.0,0.003996378819265498,2.2932507210166126
independent_random,coordinate-only,30.0,5.2343954169348436e-08,2.361189356467006
independent_random,coordinate-only,inf,0.0,2.3611917562092177
independent_random,coordinate+route,0.0,0.842376708984375,0.0
independent_random,coordinate+route,0.1,0.8391911998548891,0.000803430451202799
independent_random,coordinate+route,0.3,0.7807614168044956,0.02019214241323583
independent_random,coordinate+route,1.0,0.41394953590249084,0.3369384301193304
independent_random,coordinate+route,3.0,0.13809217659695014,1.0116097492661527
independent_random,coordinate+route,10.0,0.0037058711973380213,1.9598619950391136
independent_random,coordinate+route,30.0,4.847533413543417e-08,2.022855727800648
independent_random,coordinate+route,inf,0.0,2.0228579501834876
independent_random,coordinate+route+prior-logit,0.0,0.41823577880859375,0.0
independent_random,coordinate+route+prior-logit,0.3,0.38762759590182383,0.01040785123724152
independent_random,coordinate+route+prior-logit,1.0,0.23035008504206894,0.1488508758010046
independent_random,coordinate+route+prior-logit,3.0,0.09962172830075687,0.47620713446828955
independent_random,coordinate+route+prior-logit,10.0,0.003102291940897353,1.1880594901299748
independent_random,coordinate+route+prior-logit,30.0,4.053515938201785e-08,1.240788941383826
independent_random,coordinate+route+prior-logit,inf,0.0,1.2407907997442518
exact_shared_basis,coordinate-only,30.0,1.1614335737365708e-22,6.40684798084645e-15
exact_shared_basis,coordinate+route,30.0,1.1614335737365708e-22,6.40684798084645e-15
exact_shared_basis,coordinate+route+prior-logit,30.0,1.1614335737365708e-22,6.40684798084645e-15
shared_basis_sparse_residual,coordinate-only,0.0,0.700103759765625,0.0
