family,scope,mode,requests,cache_hit_rate_parameter,prediction_miss_probability_parameter,initial_residual_fraction,effective_residual_fraction,synthetic_exact_read_ratio,synthetic_residual_nnz_fraction,read_bytes,io_us,h2d_us,gpu_operations,gpu_us,cpu_operations,cpu_us,synchronization_us,overlapped_total_us,deadline_us_parameter,deadline_met,full_record_bytes_parameter,predictor_rank_parameter
independent_random,layer,full-record,8,0.0,0.1,1.0,1.0,1.0,1.0,113246208.0,26367.1875,4394.53125,402653184.0,20.1326592,0.0,0.0,40.0,30801.71875,5000.0,False,14155776,32
independent_random,layer,predictor+all-residual,8,0.0,0.1,1.0,1.0,1.0,1.0,113246208.0,26367.1875,4394.53125,412090368.0,20.6045184,112828032.0,2256.56064,160.0,30921.71875,5000.0,False,14155776,32
independent_random,layer,predictor+causal-half,8,0.0,0.1,0.5,0.55,1.0,1.0,62285414.400000006,14501.953125000002,2416.9921875,230896435.20000002,11.544821760000001,62055417.6,1241.108352,88.0,17006.9453125,5000.0,False,14155776,32
independent_random,token,full-record,336,0.0,0.1,1.0,1.0,1.0,1.0,4756340736.0,1107421.875,184570.3125,16911433728.0,845.5716864,0.0,0.0,1680.0,1293672.1875,210000.0,False,14155776,32
independent_random,token,predictor+all-residual,336,0.0,0.1,1.0,1.0,1.0,1.0,4756340736.0,1107421.875,184570.3125,17307795456.0,865.3897728000001,4738777344.0,94775.54688000001,6720.0,1298712.1875,210000.0,False,14155776,32
independent_random,token,predictor+causal-half,336,0.0,0.1,0.5,0.55,1.0,1.0,2615987404.8,609082.03125,101513.671875,9697650278.400002,484.8825139200001,2606327539.2000003,52126.55078400001,3696.0,714291.703125,210000.0,False,14155776,32
exact_shared_basis,layer,full-record,8,0.0,0.1,1.0,1.0,0.0,0.0,113246208.0,26367.1875,4394.53125,402653184.0,20.1326592,0.0,0.0,40.0,30801.71875,5000.0,False,14155776,32
exact_shared_basis,layer,predictor+all-residual,8,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9437184.0,0.4718592,0.0,0.0,160.0,160.4718592,5000.0,True,14155776,32
exact_shared_basis,layer,predictor+causal-half,8,0.0,0.1,0.5,0.55,0.0,0.0,0.0,0.0,0.0,9437184.0,0.4718592,0.0,0.0,88.0,88.4718592,5000.0,True,14155776,32
exact_shared_basis,token,full-record,336,0.0,0.1,1.0,1.0,0.0,0.0,4756340736.0,1107421.875,184570.3125,16911433728.0,845.5716864,0.0,0.0,1680.0,1293672.1875,210000.0,False,14155776,32
exact_shared_basis,token,predictor+all-residual,336,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,396361728.0,19.818086400000002,0.0,0.0,6720.0,6739.8180864,210000.0,True,14155776,32
exact_shared_basis,token,predictor+causal-half,336,0.0,0.1,0.5,0.55,0.0,0.0,0.0,0.0,0.0,396361728.0,19.818086400000002,0.0,0.0,3696.0,3715.8180864,210000.0,True,14155776,32
shared_basis_sparse_residual,layer,full-record,8,0.0,0.1,1.0,1.0,0.46875,0.05609130859375,113246208.0,26367.1875,4394.53125,402653184.0,20.1326592,0.0,0.0,40.0,30801.71875,5000.0,False,14155776,32
shared_basis_sparse_residual,layer,predictor+all-residual,8,0.0,0.1,1.0,1.0,0.46875,0.05609130859375,53084160.0,12359.619140625,2059.9365234375,32022528.0,1.6011264,5359392.0,107.18784000000001,160.0,14579.5556640625,5000.0,False,14155776,32
shared_basis_sparse_residual,layer,predictor+causal-half,8,0.0,0.1,0.5,0.55,0.46875,0.05609130859375,29196288.000000004,6797.790527343751,1132.9650878906252,21859123.200000003,1.0929561600000002,2947665.6,58.953312000000004,88.0,8018.755615234376,5000.0,False,14155776,32
shared_basis_sparse_residual,token,full-record,336,0.0,0.1,1.0,1.0,0.46875,0.05609130859375,4756340736.0,1107421.875,184570.3125,16911433728.0,845.5716864,0.0,0.0,1680.0,1293672.1875,210000.0,False,14155776,32
