rank,bytes_per_predictor_value,layers,experts_per_layer,predictor_resident_bytes,predictor_resident_gib,equivalent_full_experts_displaced
8,1,42,288,794787840,0.740203857421875,56.145833333333336
8,2,42,288,1589575680,1.48040771484375,112.29166666666667
8,4,42,288,3179151360,2.9608154296875,224.58333333333334
16,1,42,288,1589575680,1.48040771484375,112.29166666666667
16,2,42,288,3179151360,2.9608154296875,224.58333333333334
16,4,42,288,6358302720,5.921630859375,449.1666666666667
32,1,42,288,3179151360,2.9608154296875,224.58333333333334
32,2,42,288,6358302720,5.921630859375,449.1666666666667
32,4,42,288,12716605440,11.84326171875,898.3333333333334
64,1,42,288,6358302720,5.921630859375,449.1666666666667
64,2,42,288,12716605440,11.84326171875,898.3333333333334
64,4,42,288,25433210880,23.6865234375,1796.6666666666667
