family,scheme,requests,cache_hit_rate,read_bytes,h2d_bytes,gpu_operations,cpu_operations,synchronizations,io_us,h2d_us,gpu_us,cpu_us,synchronization_time_us,serial_total_us,overlapped_total_us,deadline_met
independent_random,full-record,336,0.0,5505024.0,5505024.0,2752512.0,0.0,336.0,1281.73828125,213.623046875,0.1376256,0.0,1680.0,3175.4989537250003,3175.361328125,True
independent_random,predictor+residual,336,0.0,5505024.0,5505024.0,3440640.0,5484696.0,1344.0,1281.73828125,213.623046875,0.172032,109.69392,6720.0,8325.227280125,8215.361328125,False
exact_shared_basis,full-record,336,0.0,5505024.0,5505024.0,2752512.0,0.0,336.0,1281.73828125,213.623046875,0.1376256,0.0,1680.0,3175.4989537250003,3175.361328125,True
exact_shared_basis,predictor+residual,336,0.0,0.0,0.0,688128.0,0.0,1344.0,0.0,0.0,0.0344064,0.0,6720.0,6720.0344064,6720.0344064,False
shared_basis_sparse_residual,full-record,336,0.0,5505024.0,5505024.0,2752512.0,0.0,336.0,1281.73828125,213.623046875,0.1376256,0.0,1680.0,3175.4989537250003,3175.361328125,True
shared_basis_sparse_residual,predictor+residual,336,0.0,2580480.0,2580480.0,842520.0,260526.0,1344.0,600.8148193359375,100.13580322265625,0.042126000000000004,5.21052,6720.0,7426.203268558594,7420.950622558594,False
slowly_drifting,full-record,336,0.0,5505024.0,5505024.0,2752512.0,0.0,336.0,1281.73828125,213.623046875,0.1376256,0.0,1680.0,3175.4989537250003,3175.361328125,True
slowly_drifting,predictor+residual,336,0.0,4816896.0,4816896.0,3096576.0,3567774.0,1344.0,1121.52099609375,186.920166015625,0.15482880000000002,71.35548,6720.0,8099.951470909375,8028.441162109375,False
route_only_adversary,full-record,336,0.0,5505024.0,5505024.0,2752512.0,0.0,336.0,1281.73828125,213.623046875,0.1376256,0.0,1680.0,3175.4989537250003,3175.361328125,True
route_only_adversary,predictor+residual,336,0.0,5505024.0,5505024.0,3440640.0,4657632.0,1344.0,1281.73828125,213.623046875,0.172032,93.15263999999999,6720.0,8308.686000125,8215.361328125,False
