scenario,n_candidates,max_captures,optimized_objective,method,selected_layers,selected_count,feasible,information_bits,bayes_accepted_tokens,round_time_ms,throughput_tokens_per_second,capture_bytes,capture_latency_ms,capture_effective_ms,objective_value,fraction_of_optimum,oracle_evaluations
xor_synergy_small,4,2,information,greedy_information,3 4,2,1,0.3318777540066993,0.75,2.2854666666666668,328.16055072632867,9984.0,0.22999999999999998,0.28546666666666665,0.3318777540066993,0.3318777540066993,8
xor_synergy_small,4,2,information,cost_aware_greedy,3 4,2,1,0.3318777540066993,0.75,2.2854666666666668,328.16055072632867,9984.0,0.22999999999999998,0.28546666666666665,0.3318777540066993,0.3318777540066993,8
xor_synergy_small,4,2,information,pair_bundle_greedy,1 2,2,1,1.0,1.0,1.2397777777777779,806.5961641871303,8960.0,0.19,0.23977777777777778,1.0,1.0,21
xor_synergy_small,4,2,information,true_optimum,1 2,2,1,1.0,1.0,1.2397777777777779,806.5961641871303,8960.0,0.19,0.23977777777777778,1.0,1.0,11
xor_synergy_small,4,2,throughput,greedy_information,3 4,2,1,0.3318777540066993,0.75,2.2854666666666668,328.16055072632867,9984.0,0.22999999999999998,0.28546666666666665,0.32816055072632866,0.40684615833381954,8
xor_synergy_small,4,2,throughput,cost_aware_greedy,3 4,2,1,0.3318777540066993,0.75,2.2854666666666668,328.16055072632867,9984.0,0.22999999999999998,0.28546666666666665,0.32816055072632866,0.40684615833381954,8
xor_synergy_small,4,2,throughput,dinkelbach_pair_bundle,1 2,2,1,1.0,1.0,1.2397777777777779,806.5961641871303,8960.0,0.19,0.23977777777777778,0.8065961641871302,1.0,42
xor_synergy_small,4,2,throughput,true_optimum,1 2,2,1,1.0,1.0,1.2397777777777779,806.5961641871303,8960.0,0.19,0.23977777777777778,0.8065961641871302,1.0,22
conditional_independent_small,5,3,information,greedy_information,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.8167712720145421,1.0,13
conditional_independent_small,5,3,information,cost_aware_greedy,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.8167712720145421,1.0,13
conditional_independent_small,5,3,information,pair_bundle_greedy,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.8167712720145421,1.0,50
conditional_independent_small,5,3,information,true_optimum,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.8167712720145421,1.0,26
conditional_independent_small,5,3,throughput,greedy_information,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.6124185187086179,0.9180863327775689,13
conditional_independent_small,5,3,throughput,cost_aware_greedy,1 2 3,3,1,0.8167712720145421,0.95454,1.5586399999999998,612.4185187086179,13824.0,0.3,0.3768,0.6124185187086179,0.9180863327775689,13
conditional_independent_small,5,3,throughput,dinkelbach_pair_bundle,1,1,1,0.6340763490997767,0.93,1.3941777777777775,667.0598361439639,4352.0,0.09,0.11417777777777777,0.6670598361439639,1.0,94
conditional_independent_small,5,3,throughput,true_optimum,1,1,1,0.6340763490997767,0.93,1.3941777777777775,667.0598361439639,4352.0,0.09,0.11417777777777777,0.6670598361439639,1.0,52
near_duplicate_small,3,2,information,greedy_information,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.5161178397861561,1.0,6
near_duplicate_small,3,2,information,cost_aware_greedy,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.5161178397861561,1.0,6
near_duplicate_small,3,2,information,pair_bundle_greedy,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.5161178397861561,1.0,15
near_duplicate_small,3,2,information,true_optimum,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.5161178397861561,1.0,7
near_duplicate_small,3,2,throughput,greedy_information,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.459161624891962,0.9259819456448667,6
near_duplicate_small,3,2,throughput,cost_aware_greedy,1 3,2,1,0.5161178397861561,0.85,1.8512,459.161624891962,9216.0,0.2,0.2512,0.459161624891962,0.9259819456448667,6
near_duplicate_small,3,2,throughput,dinkelbach_pair_bundle,1,1,1,0.39015969528359973,0.8500000000000001,1.7141777777777774,495.86455443490905,4352.0,0.09,0.11417777777777777,0.49586455443490907,1.0,30
near_duplicate_small,3,2,throughput,true_optimum,1,1,1,0.39015969528359973,0.8500000000000001,1.7141777777777774,495.86455443490905,4352.0,0.09,0.11417777777777777,0.49586455443490907,1.0,14
