total,pool_eq,pool_wf,cmp_eq,cmp_wf
2425,69.11630,68.00977,81.11111,82.06349
2525,69.70391,69.00946,81.51786,82.13294
2625,70.14652,69.88706,81.74603,82.21230
2725,70.94780,70.72650,82.00397,82.36111
2825,71.61172,71.60409,82.36111,82.36111
2925,72.57326,72.42827,82.72817,82.40079
3025,73.19139,73.30586,82.97619,82.82738
3125,73.73321,74.07662,83.18452,82.84722
3225,74.25214,74.83974,83.26389,82.89683
3325,74.81685,75.43498,83.38294,82.89683
3425,75.28999,76.08364,83.55159,82.89683
3525,75.74023,76.46520,83.61111,83.07540
3620,76.26679,76.90781,83.77976,83.10516
