B,realtext_avg,realtext_min,realtext_max,campaign_avg,campaign_min,campaign_max,math_avg,math_min,math_max,pool_avg,pool_min,pool_max
1,9.4643,5.0000,12.5000,9.1915,4.7917,12.5000,8.3333,4.1667,12.5000,7.4675,3.7338,11.3636
2,16.2500,10.0000,25.0000,17.3562,9.5833,23.9583,14.6577,7.2917,23.9583,14.0422,7.4675,20.2922
3,21.4286,12.5000,30.0000,24.1915,14.3750,35.4167,20.0645,10.4167,34.3750,19.4380,11.2013,29.2208
4,26.1310,15.0000,37.5000,30.1885,18.7500,43.5417,24.7024,13.5417,40.6250,24.1960,14.9351,35.5519
5,30.5357,17.5000,42.5000,35.4563,22.5000,49.5833,28.6954,16.6667,45.8333,28.4439,17.8571,40.5844
6,34.4643,20.0000,45.0000,40.3175,26.0417,55.6250,32.2917,18.7500,51.0417,32.3207,20.6169,45.2922
7,37.9762,22.5000,50.0000,44.8016,29.3750,61.6667,35.5407,20.8333,55.2083,35.9385,23.3766,50.0000
8,41.0714,25.0000,52.5000,48.9038,32.5000,67.7083,38.5665,22.9167,59.3750,39.3050,25.9740,54.7078
10,46.4286,30.0000,57.5000,56.1458,37.7083,78.1250,43.9980,27.0833,66.6667,45.2767,30.6818,62.8247
12,51.4881,35.0000,62.5000,62.0635,42.5000,83.3333,48.7351,31.2500,72.9167,50.3015,34.5779,67.5325
14,56.4881,40.0000,67.5000,66.9792,45.8333,87.5000,53.1002,35.4167,78.1250,54.5609,38.3117,71.1039
16,61.4881,45.0000,72.5000,70.9673,48.9583,91.0417,57.2421,37.5000,82.2917,58.1092,41.2338,74.5130
20,71.4881,55.0000,82.5000,76.8353,54.5833,95.8333,64.7569,41.6667,87.5000,63.6518,46.1039,78.4091
24,81.4881,65.0000,92.5000,81.0268,59.5833,98.1250,70.5853,45.8333,91.6667,67.8765,50.3247,81.1688
28,91.2500,75.0000,100.0000,84.2808,63.9583,99.3750,75.0744,50.0000,95.8333,71.2856,54.2208,83.4416
32,97.3810,85.0000,100.0000,86.9097,67.7083,100.0000,79.2411,54.1667,100.0000,74.2270,57.6299,85.2273
36,99.7024,95.0000,100.0000,89.0724,71.0417,100.0000,83.3085,58.3333,100.0000,76.7896,60.8766,86.6883
40,100.0000,100.0000,100.0000,90.8929,74.3750,100.0000,87.2768,62.5000,100.0000,79.0353,64.1234,87.9870
44,100.0000,100.0000,100.0000,92.4107,77.2917,100.0000,90.9970,66.6667,100.0000,81.0297,66.7208,89.7727
48,100.0000,100.0000,100.0000,93.7004,79.7917,100.0000,94.0724,70.8333,100.0000,82.8386,69.3182,91.0714
52,100.0000,100.0000,100.0000,94.7867,82.2917,100.0000,96.2054,75.0000,100.0000,84.5199,71.9156,92.3701
56,100.0000,100.0000,100.0000,95.7143,84.7917,100.0000,97.5198,79.1667,100.0000,86.0699,74.1883,93.5065
57,100.0000,100.0000,100.0000,95.9177,85.4167,100.0000,97.7431,80.2083,100.0000,86.4293,74.6753,93.6688
60,100.0000,100.0000,100.0000,96.4683,87.0833,100.0000,98.3631,83.3333,100.0000,87.4382,76.1364,94.1558
64,100.0000,100.0000,100.0000,97.0833,88.7500,100.0000,99.0575,87.5000,100.0000,88.6016,78.0844,94.8052
68,100.0000,100.0000,100.0000,97.6538,90.4167,100.0000,99.5536,91.6667,100.0000,89.6761,80.0325,95.4545
72,100.0000,100.0000,100.0000,98.1696,92.0833,100.0000,99.9008,95.8333,100.0000,90.7274,81.9805,96.1039
76,100.0000,100.0000,100.0000,98.6111,93.1250,100.0000,100.0000,100.0000,100.0000,91.6821,83.6039,96.7532
80,100.0000,100.0000,100.0000,98.9782,93.9583,100.0000,100.0000,100.0000,100.0000,92.5557,84.9026,97.4026
84,100.0000,100.0000,100.0000,99.3006,94.7917,100.0000,100.0000,100.0000,100.0000,93.4060,86.2013,98.0519
88,100.0000,100.0000,100.0000,99.5288,95.6250,100.0000,100.0000,100.0000,100.0000,94.1790,87.5000,98.7013
92,100.0000,100.0000,100.0000,99.7173,96.4583,100.0000,100.0000,100.0000,100.0000,94.8825,88.7987,99.3506
96,100.0000,100.0000,100.0000,99.8562,97.2917,100.0000,100.0000,100.0000,100.0000,95.5782,90.0974,100.0000
