trace,layer,B8,B16,B28,B48,B57,B96
realtext,3,4.1667,4.1667,4.1667,20.8333,25.0000,29.1667
realtext,4,8.3333,8.3333,12.5000,16.6667,16.6667,25.0000
realtext,5,0.0000,0.0000,0.0000,8.3333,12.5000,20.8333
realtext,6,8.3333,8.3333,33.3333,37.5000,37.5000,41.6667
realtext,7,20.8333,25.0000,25.0000,29.1667,37.5000,50.0000
realtext,8,8.3333,12.5000,20.8333,29.1667,33.3333,45.8333
realtext,9,12.5000,16.6667,20.8333,20.8333,20.8333,41.6667
realtext,10,8.3333,20.8333,25.0000,33.3333,33.3333,50.0000
realtext,11,4.1667,4.1667,4.1667,8.3333,8.3333,33.3333
realtext,12,8.3333,8.3333,12.5000,25.0000,25.0000,33.3333
realtext,13,25.0000,33.3333,37.5000,37.5000,37.5000,45.8333
realtext,14,12.5000,25.0000,25.0000,25.0000,25.0000,41.6667
realtext,15,0.0000,8.3333,8.3333,12.5000,12.5000,37.5000
realtext,16,12.5000,12.5000,20.8333,20.8333,25.0000,37.5000
realtext,17,8.3333,12.5000,12.5000,16.6667,16.6667,29.1667
realtext,18,12.5000,16.6667,16.6667,25.0000,29.1667,37.5000
realtext,19,0.0000,20.8333,29.1667,37.5000,45.8333,54.1667
realtext,20,25.0000,29.1667,37.5000,37.5000,37.5000,50.0000
realtext,21,25.0000,37.5000,37.5000,45.8333,45.8333,50.0000
realtext,22,16.6667,37.5000,50.0000,54.1667,58.3333,66.6667
realtext,23,12.5000,16.6667,29.1667,37.5000,37.5000,54.1667
realtext,24,16.6667,29.1667,29.1667,41.6667,41.6667,50.0000
realtext,25,25.0000,33.3333,41.6667,58.3333,70.8333,83.3333
realtext,26,8.3333,8.3333,8.3333,8.3333,25.0000,29.1667
realtext,27,20.8333,25.0000,29.1667,33.3333,37.5000,45.8333
realtext,28,25.0000,33.3333,37.5000,41.6667,45.8333,54.1667
realtext,29,16.6667,20.8333,33.3333,37.5000,41.6667,58.3333
realtext,30,12.5000,20.8333,29.1667,29.1667,37.5000,54.1667
realtext,31,16.6667,25.0000,25.0000,37.5000,37.5000,50.0000
realtext,32,8.3333,20.8333,25.0000,29.1667,29.1667,41.6667
realtext,33,12.5000,16.6667,25.0000,29.1667,33.3333,54.1667
