scenario,policy,action,count,fraction_of_action_starts
calibrated,best_fixed,k4_d2_exact_bf16_pf1,6000,1.0
calibrated,exact_joint,k4_d2_approx_fp8_pf1,79,0.012079510703363914
calibrated,exact_joint,k4_d2_exact_bf16_pf1,27,0.004128440366972477
calibrated,exact_joint,k4_d2_exact_fp8_pf0,105,0.016055045871559634
calibrated,exact_joint,k4_d2_exact_fp8_pf1,178,0.027217125382262997
calibrated,exact_joint,k4_d4_exact_fp8_pf0,3592,0.5492354740061162
calibrated,exact_joint,k4_d4_exact_fp8_pf1,218,0.03333333333333333
calibrated,exact_joint,k8_d2_approx_fp8_pf0,1298,0.19847094801223242
calibrated,exact_joint,k8_d2_approx_fp8_pf1,152,0.023241590214067277
calibrated,exact_joint,k8_d2_exact_bf16_pf0,42,0.006422018348623854
calibrated,exact_joint,k8_d2_exact_fp8_pf0,296,0.04525993883792049
calibrated,exact_joint,k8_d2_exact_fp8_pf1,13,0.001987767584097859
calibrated,exact_joint,measure_exact_metric,540,0.08256880733944955
calibrated,independent_thresholds,k4_d2_approx_fp8_pf0,25,0.004166666666666667
calibrated,independent_thresholds,k4_d2_approx_fp8_pf1,7,0.0011666666666666668
calibrated,independent_thresholds,k4_d4_approx_fp8_pf0,2599,0.43316666666666664
calibrated,independent_thresholds,k4_d4_approx_fp8_pf1,1105,0.18416666666666667
calibrated,independent_thresholds,k8_d2_approx_fp8_pf0,11,0.0018333333333333333
calibrated,independent_thresholds,k8_d2_approx_fp8_pf1,10,0.0016666666666666668
calibrated,independent_thresholds,k8_d2_exact_bf16_pf0,1525,0.25416666666666665
calibrated,independent_thresholds,k8_d2_exact_bf16_pf1,538,0.08966666666666667
calibrated,independent_thresholds,k8_d2_exact_fp8_pf0,14,0.0023333333333333335
calibrated,independent_thresholds,k8_d2_exact_fp8_pf1,8,0.0013333333333333333
calibrated,independent_thresholds,k8_d4_exact_fp8_pf0,137,0.022833333333333334
calibrated,independent_thresholds,k8_d4_exact_fp8_pf1,21,0.0035
calibrated,myopic_voi,k4_d2_approx_fp8_pf0,2004,0.32385261797026504
calibrated,myopic_voi,k4_d2_approx_fp8_pf1,1441,0.23287007110536523
calibrated,myopic_voi,k4_d4_exact_fp8_pf0,777,0.1255656108597285
calibrated,myopic_voi,k4_d4_exact_fp8_pf1,1778,0.2873303167420814
calibrated,myopic_voi,measure_exact_metric,188,0.030381383322559793
calibrated,primal_dual_joint,k4_d2_approx_bf16_pf0,16,0.0026666666666666666
calibrated,primal_dual_joint,k4_d2_approx_bf16_pf1,4,0.0006666666666666666
calibrated,primal_dual_joint,k4_d2_approx_fp8_pf0,851,0.14183333333333334
calibrated,primal_dual_joint,k4_d2_approx_fp8_pf1,712,0.11866666666666667
calibrated,primal_dual_joint,k4_d2_exact_bf16_pf0,85,0.014166666666666666
calibrated,primal_dual_joint,k4_d2_exact_bf16_pf1,28,0.004666666666666667
calibrated,primal_dual_joint,k4_d2_exact_fp8_pf0,4,0.0006666666666666666
calibrated,primal_dual_joint,k4_d2_exact_fp8_pf1,3,0.0005
calibrated,primal_dual_joint,k4_d4_exact_bf16_pf0,155,0.025833333333333333
calibrated,primal_dual_joint,k4_d4_exact_bf16_pf1,115,0.019166666666666665
calibrated,primal_dual_joint,k4_d4_exact_fp8_pf0,1715,0.28583333333333333
calibrated,primal_dual_joint,k4_d4_exact_fp8_pf1,1498,0.24966666666666668
calibrated,primal_dual_joint,k8_d2_approx_fp8_pf0,8,0.0013333333333333333
calibrated,primal_dual_joint,k8_d2_approx_fp8_pf1,5,0.0008333333333333334
calibrated,primal_dual_joint,k8_d2_exact_bf16_pf0,13,0.0021666666666666666
calibrated,primal_dual_joint,k8_d2_exact_bf16_pf1,6,0.001
calibrated,primal_dual_joint,k8_d4_approx_bf16_pf1,8,0.0013333333333333333
calibrated,primal_dual_joint,k8_d4_exact_bf16_pf0,377,0.06283333333333334
calibrated,primal_dual_joint,k8_d4_exact_bf16_pf1,372,0.062
calibrated,primal_dual_joint,k8_d4_exact_fp8_pf0,10,0.0016666666666666668
calibrated,primal_dual_joint,k8_d4_exact_fp8_pf1,15,0.0025
calibrated,robust_safe_joint,k4_d2_approx_fp8_pf1,125,0.019400900201769364
calibrated,robust_safe_joint,k4_d2_exact_bf16_pf1,13,0.002017693620984014
calibrated,robust_safe_joint,k4_d2_exact_fp8_pf0,147,0.02281545863728077
calibrated,robust_safe_joint,k4_d2_exact_fp8_pf1,204,0.0316622691292876
calibrated,robust_safe_joint,k4_d4_exact_fp8_pf0,3730,0.5789228620207978
calibrated,robust_safe_joint,k4_d4_exact_fp8_pf1,247,0.03833617879869626
calibrated,robust_safe_joint,k8_d2_approx_fp8_pf1,7,0.0010864504112990843
calibrated,robust_safe_joint,k8_d2_exact_bf16_pf0,1408,0.21853173987273009
calibrated,robust_safe_joint,k8_d2_exact_fp8_pf0,119,0.018469656992084433
calibrated,robust_safe_joint,measure_exact_metric,443,0.06875679031507062
calibrated,safe_exact_fixed,k8_d2_exact_bf16_pf0,6000,1.0
distribution_shift,best_fixed,k4_d2_exact_bf16_pf1,6000,1.0
distribution_shift,exact_joint,k4_d2_approx_fp8_pf1,98,0.014042126379137413
distribution_shift,exact_joint,k4_d2_exact_bf16_pf1,52,0.007450924201174954
distribution_shift,exact_joint,k4_d2_exact_fp8_pf0,136,0.01948703252614988
distribution_shift,exact_joint,k4_d2_exact_fp8_pf1,223,0.03195300186273105
distribution_shift,exact_joint,k4_d4_exact_fp8_pf0,2827,0.40507235993695373
distribution_shift,exact_joint,k4_d4_exact_fp8_pf1,179,0.02564837369250609
distribution_shift,exact_joint,k8_d2_approx_fp8_pf0,1818,0.2604957730333859
distribution_shift,exact_joint,k8_d2_approx_fp8_pf1,272,0.03897406505229976
distribution_shift,exact_joint,k8_d2_exact_bf16_pf0,31,0.004441897119931222
distribution_shift,exact_joint,k8_d2_exact_fp8_pf0,339,0.04857429431150594
distribution_shift,exact_joint,k8_d2_exact_fp8_pf1,25,0.0035821750967187276
distribution_shift,exact_joint,measure_exact_metric,979,0.14027797678750537
distribution_shift,independent_thresholds,k4_d2_approx_fp8_pf0,64,0.010666666666666666
distribution_shift,independent_thresholds,k4_d2_approx_fp8_pf1,26,0.004333333333333333
distribution_shift,independent_thresholds,k4_d4_approx_fp8_pf0,2093,0.34883333333333333
distribution_shift,independent_thresholds,k4_d4_approx_fp8_pf1,941,0.15683333333333332
distribution_shift,independent_thresholds,k8_d2_approx_fp8_pf0,40,0.006666666666666667
distribution_shift,independent_thresholds,k8_d2_approx_fp8_pf1,12,0.002
