action,feasible,committed_tokens_per_second,ppl_loss_per_token,hard_violation_probability,catastrophe_per_token
k4_d2_approx_bf16_pf0,False,29.55287326994434,0.00904402837935275,0.16586662468761038,0.00037646600452122974
k4_d2_approx_bf16_pf1,False,30.39278643121873,0.009061732110538907,0.16659746164932493,0.00037585180987681813
k4_d2_approx_fp8_pf0,False,30.690074275197002,0.012692495045033841,0.20706407423027243,0.0005302861622325712
k4_d2_approx_fp8_pf1,False,31.4378842887259,0.012700793886414992,0.20751080835180016,0.0005293565903788497
k4_d2_exact_bf16_pf0,True,28.33118170383207,0.0014086353332804311,0.020887468456613753,3.662099884316424e-05
k4_d2_exact_bf16_pf1,True,29.788137293556606,0.0014914611508373221,0.023934953831395718,3.781891049783981e-05
k4_d2_exact_fp8_pf0,False,30.0746403928692,0.0027464811461153983,0.04481867565389282,8.433484651275567e-05
k4_d2_exact_fp8_pf1,False,31.69817753017525,0.002827495047646458,0.04759193161827506,8.554320129366795e-05
k4_d4_approx_bf16_pf0,False,22.728047565582003,0.00980524076616713,0.24217027322152362,0.00041151727876872075
k4_d4_approx_bf16_pf1,False,23.047580571594285,0.009898957498111628,0.2446922577483952,0.0004161795801394241
k4_d4_approx_fp8_pf0,False,22.67125040380974,0.013802398458781751,0.2824627454301913,0.0005809633074238972
k4_d4_approx_fp8_pf1,False,22.782445264281442,0.013904372908627302,0.2845579980490921,0.0005863752061114032
k4_d4_exact_bf16_pf0,True,28.835046069956228,0.0012750835849821627,0.03250222366751173,3.466931135345621e-05
k4_d4_exact_bf16_pf1,False,31.18967573098913,0.0013225539916485115,0.035392384782128625,3.535658628723384e-05
k4_d4_exact_fp8_pf0,False,30.483784301846708,0.002246899480951667,0.05728763148557515,6.695479815100382e-05
k4_d4_exact_fp8_pf1,False,33.095325226272784,0.0022940140394089987,0.05989311481734954,6.764953400596796e-05
k8_d2_approx_bf16_pf0,True,29.381847556276615,0.001443818225302889,0.028647473900026473,4.7719498211597264e-05
k8_d2_approx_bf16_pf1,False,28.558751772258848,0.0016333355951093393,0.03501590602215169,5.4506831862318764e-05
k8_d2_approx_fp8_pf0,False,32.28223620874558,0.002341701503189122,0.04039478868911433,6.997994329244879e-05
k8_d2_approx_fp8_pf1,False,31.241421135785913,0.002539777556473684,0.04671470515257182,7.738710901465975e-05
k8_d2_exact_bf16_pf0,True,24.7472045399466,1.4682870016810395e-19,1.031735846908289e-16,9.423213695466841e-21
k8_d2_exact_bf16_pf1,True,24.152862086025408,0.000172002791011074,0.0058534023226392935,4.909579294883053e-06
k8_d2_exact_fp8_pf0,True,27.799184031775418,0.0005432962909894007,0.006588395078618102,1.0866638194781512e-05
k8_d2_exact_fp8_pf1,True,27.021035836303547,0.0007225192767425435,0.012554494420553819,1.6275283881041445e-05
k8_d4_approx_bf16_pf0,False,22.54121866551158,0.001773185810309009,0.06467478026219099,6.396740885248977e-05
k8_d4_approx_bf16_pf1,False,23.381118433063463,0.0019252931000910876,0.07300362570686253,7.010958893391878e-05
k8_d4_approx_fp8_pf0,False,23.912661904277996,0.0026446311051622103,0.07957818996579184,8.497467493552892e-05
k8_d4_approx_fp8_pf1,False,24.78267152299409,0.0028088138451338386,0.08773365936072655,9.185367308460425e-05
k8_d4_exact_bf16_pf0,True,25.405660860914434,1.1895248281266996e-20,1.4169867493153806e-17,7.757863071159892e-22
k8_d4_exact_bf16_pf1,True,25.360419348517354,9.74196750449864e-05,0.006078219075948939,2.8927726902053995e-06
k8_d4_exact_fp8_pf0,True,28.525914218696332,0.0004370645596031078,0.007290565250904416,6.735268264089439e-06
k8_d4_exact_fp8_pf1,True,28.429160290442585,0.0005407142042237453,0.013447346445991425,9.976830206709335e-06
