scenario,policy,rounds,committed_tokens,wall_time_ms,bytes_mb_total,ppl_loss_total,hard_ends,hard_violations,catastrophes,measurement_count,fallback_count,measurement_time_ms,guard_time_ms,cache_level_sum,io_queue_sum,hidden_hard_count,debt_and_queue2_count,committed_tokens_per_second,ppl_loss_per_token,hard_violation_probability,catastrophe_per_token,bytes_per_token_mb,measurement_fraction,fallback_fraction,mean_cache_level,mean_io_queue,hidden_hard_fraction,debt_and_queue2_fraction,ppl_constraint_met,hard_constraint_met,catastrophe_constraint_met,ood_latched,replication,seed
calibrated,safe_exact_fixed,500.0,915.0,37228.28483108677,9138.37848716046,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,173.0,97.0,0.0,24.578086370391866,0.0,0.0,0.0,9.987298893071541,0.0,0.0,1.38,0.346,0.194,0.0,True,True,True,False,0,12012
calibrated,best_fixed,500.0,860.0,28782.594685359978,13341.578888958364,1.2431628283684757,16.0,1.0,0.0,0.0,0.0,0.0,0.0,761.0,636.0,164.0,4.0,29.879168622606205,0.0014455381725214833,0.0625,0.0,15.51346382437019,0.0,0.0,1.522,1.272,0.328,0.008,True,False,True,False,0,12012
calibrated,independent_thresholds,500.0,1296.0,46666.00576594236,11258.877237392559,0.6620600000000012,7.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,557.0,231.0,0.0,27.771821880368485,0.0005108487654320997,0.0,0.0,8.687405275765864,0.0,0.0,1.168,1.114,0.462,0.0,True,True,True,False,0,12012
calibrated,myopic_voi,500.0,1043.0,30674.464506009474,10901.158688707517,10.43299771923076,10.0,1.0,1.0,27.0,0.0,33.852464111209855,0.0,573.0,538.0,267.0,50.0,34.00222356923833,0.010002874131573117,0.1,0.0009587727708533077,10.451734121483717,0.054,0.0,1.146,1.076,0.534,0.1,False,False,False,False,0,12012
calibrated,primal_dual_joint,500.0,1354.0,38696.92048735843,12645.631815909812,4.665709229341739,7.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,379.0,161.0,27.0,34.989864385780436,0.003445870922704386,0.0,0.0,9.339462197865444,0.0,0.0,1.642,0.758,0.322,0.054,True,True,True,False,0,12012
calibrated,exact_joint,500.0,1317.0,35203.934207687955,9181.130968302301,1.471085008321019,19.0,0.0,0.0,38.0,0.0,47.135806143001666,0.0,936.0,201.0,161.0,0.0,37.41059144782713,0.001116996969112391,0.0,0.0,6.971245989599318,0.076,0.0,1.872,0.402,0.322,0.0,True,True,True,False,0,12012
calibrated,robust_safe_joint,500.0,1458.0,38881.378608271276,10238.445997650571,0.4528999999999998,9.0,0.0,0.0,40.0,103.0,50.103598417035535,90.0,935.0,182.0,111.0,0.0,37.49867037095846,0.000310631001371742,0.0,0.0,7.022253770679404,0.08,0.206,1.87,0.364,0.222,0.0,True,True,True,False,0,12012
distribution_shift,safe_exact_fixed,500.0,890.0,42454.36196127075,8592.645938963466,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,226.0,187.0,0.0,20.963688037801816,0.0,0.0,0.0,9.654658358385916,0.0,0.0,1.436,0.452,0.374,0.0,True,True,True,False,0,12012
distribution_shift,best_fixed,500.0,825.0,33972.5927189255,13517.13974534966,4.1395762070414905,11.0,3.0,0.0,0.0,0.0,0.0,0.0,707.0,710.0,221.0,33.0,24.28428135661273,0.005017668129747261,0.2727272727272727,0.0,16.384411812545043,0.0,0.0,1.414,1.42,0.442,0.066,False,False,True,False,0,12012
distribution_shift,independent_thresholds,500.0,1198.0,52745.6409823712,11429.335863870603,6.085959176405761,17.0,1.0,0.0,0.0,0.0,0.0,0.0,606.0,531.0,285.0,27.0,22.712777353495408,0.005080099479470585,0.058823529411764705,0.0,9.540347131778466,0.0,0.0,1.212,1.062,0.57,0.054,False,False,True,False,0,12012
distribution_shift,myopic_voi,500.0,1014.0,34971.340789535,10974.722821127863,15.534715865080292,8.0,2.0,1.0,26.0,0.0,38.22019138218168,0.0,620.0,526.0,302.0,55.0,28.995170820085754,0.015320232608560446,0.25,0.0009861932938856016,10.82319804844957,0.052,0.0,1.24,1.052,0.604,0.11,False,False,False,False,0,12012
distribution_shift,primal_dual_joint,500.0,1251.0,48548.10928506481,13676.32480689706,4.855704182691753,10.0,1.0,0.0,0.0,0.0,0.0,0.0,760.0,476.0,267.0,18.0,25.768253767708597,0.003881458179609714,0.1,0.0,10.932313994322191,0.0,0.0,1.52,0.952,0.534,0.036,True,False,True,False,0,12012
distribution_shift,exact_joint,500.0,1163.0,37865.93250847102,8376.608726368784,3.940477190344601,15.0,0.0,0.0,76.0,0.0,110.21698309358392,0.0,936.0,283.0,237.0,6.0,30.71362364415096,0.003388200507604988,0.0,0.0,7.202587039010132,0.152,0.0,1.872,0.566,0.474,0.012,True,True,True,False,0,12012
distribution_shift,robust_safe_joint,500.0,1184.0,41885.36258627132,9582.314973738532,1.6101181652726688,10.0,0.0,0.0,69.0,187.0,99.65396961598562,90.0,889.0,209.0,225.0,0.0,28.267631623369954,0.0013598970990478622,0.0,0.0,8.093171430522409,0.138,0.374,1.778,0.418,0.45,0.0,True,True,True,False,0,12012
