scenario,token,observed,operator_bound,online_bound,online_realized_bound,diagonal_bound,structural_bound,transition_bound,A_norm,B_norm,spectral_radius_A,coefficient_error,update_error,rounding_error,rounding_bound,state_bound,energy_identity_error,driven_energy_identity_error,decomposition_error,approx_decomposition_error
contractive,1,0.002616508278189463,0.0026995486903471566,0.003773906933421198,0.0037412430195471677,nan,0.0026995486903471566,0.002616508278189463,0.9057509725434653,1.0,0.905637886048631,0.0,0.0026195486903471564,4.733608612596969e-05,8e-05,0.3531086636780985,0.0,4.163336342344337e-17,6.776263578034403e-21,6.776263578034403e-21
contractive,2,0.002262796307314099,0.0032350236446356978,0.005014558537062788,0.004946629901074288,nan,0.0032574383571731874,0.002957080563576067,0.8955841964319865,1.0,0.8955559866153608,0.00018600337132429904,0.0005513471287378188,4.131433999886231e-05,8e-05,0.4052218257587265,8.470329472543003e-22,1.3877787807814457e-17,3.5392399057298344e-17,3.532786914251531e-17
contractive,3,0.002033828968725385,0.0040002412046659585,0.006576940901653991,0.00648204689910856,nan,0.004025462476172443,0.0035356401438370773,0.8731643411036321,1.0,0.8731626130845235,0.00010602379040940745,0.0009895101251335516,4.441228252932732e-05,8e-05,0.4149130049136052,0.0,0.0,2.8705496044362426e-17,2.8646831396142934e-17
contractive,4,0.003603023370521195,0.007062909885662301,0.011890354250328344,0.011773321153131395,nan,0.007094225646837255,0.0060834428482645095,0.8725798119668041,1.0,0.8725701905005578,0.0003298029670002099,0.0031625772004728074,4.581209620174588e-05,8e-05,0.7694494754594301,1.2705494208814505e-21,5.551115123125783e-17,4.5779329910042985e-17,4.579025103281231e-17
contractive,5,0.0038727921409162027,0.010234503862245167,0.01697311978796946,0.016834604742684584,nan,0.010308024124069854,0.008142653015225015,0.8812244965165019,1.0,0.8811242954299028,0.0011170474818994651,0.0028134471724115167,4.461048510142506e-05,8e-05,0.9379472839272163,1.6940658945086007e-21,0.0,5.82742759033158e-17,5.823564009657954e-17
contractive,6,0.003755891307465531,0.011837004829845394,0.020552867229201643,0.0203952055867942,nan,0.011982350348983784,0.008776369507719263,0.8801223633860533,1.0,0.8799968821404638,0.0007471002185650289,0.002002288883957457,4.430340067375538e-05,8e-05,0.8829595791746331,1.6940658945086007e-21,1.6653345369377348e-16,1.132913294432464e-16,1.1328712754955667e-16
contractive,7,0.0038463236570784325,0.015019517926483863,0.02607301190243637,0.02589209730381385,nan,0.015190255919666567,0.010689503961992256,0.9044170258219406,1.0,0.9043147941197957,0.0014080978232698465,0.002825831400365299,4.166068927626272e-05,8e-05,0.8765043892943986,1.6940658945086007e-21,0.0,7.247065096161845e-17,7.258914462194488e-17
contractive,8,0.0032092945833951387,0.01467954849231904,0.02566586503473449,0.02546484116652649,nan,0.0148544076570661,0.009836353508564087,0.9047818259087184,1.0,0.9047816583614071,0.00025370000951973937,0.0007564616290065035,4.2588390423997635e-05,8e-05,0.8316531350492585,1.6940658945086007e-21,5.551115123125783e-17,6.520234848965201e-17,6.524342658087175e-17
contractive,9,0.0040332975625965465,0.016801060097156522,0.02961813529365281,0.029406071929893394,nan,0.01699122352667778,0.011876935067713524,0.8998776271736912,1.0,0.8998087838001683,0.0004733500810712522,0.0030379127508360733,4.8788614077634894e-05,8e-05,0.9848695646564956,8.470329472543003e-22,2.220446049250313e-16,7.211510619165806e-17,7.207659802783019e-17
contractive,10,0.005761678823932374,0.019277455672415643,0.03538541150259131,0.035175170952542134,nan,0.019475548738182337,0.014234774208263239,0.8465737950306788,1.0,0.8465715297676586,0.0007202422451374825,0.00425387622028986,4.919304441651732e-05,8e-05,1.0716985182428174,5.082197683525802e-21,1.1102230246251565e-16,9.100338783411375e-17,9.095326583617112e-17
contractive,11,0.005045673042933197,0.01993216506649712,0.036659194006109466,0.03643603212263893,nan,0.020410730058141736,0.01368333892723866,0.8872415626419389,1.0,0.8868371164809714,0.001055310635210821,0.0016930945367315334,4.3385653797376764e-05,8e-05,1.0722804184861998,6.776263578034403e-21,5.551115123125783e-17,7.775406213995332e-17,7.770541946943812e-17
contractive,12,0.004620847762082551,0.02123849622902106,0.03999288136650475,0.039755708938138026,nan,0.021675676468413528,0.014430398088864805,0.9008402677932098,1.0,0.9008341799015651,0.000997679653685154,0.0022051196591341845,4.393032589537762e-05,8e-05,0.9972493253170494,1.6940658945086007e-21,5.551115123125783e-17,7.748499385819294e-17,7.760279296389334e-17
contractive,13,0.004959621987546772,0.02280063600258536,0.043657578303730064,0.0434157916479776,nan,0.023186517615598725,0.015285268127927546,0.8808210110423339,1.0,0.8808197874653743,0.000633657303670297,0.0033796649774499384,4.7221336840927784e-05,8e-05,1.055746226738592,3.3881317890172014e-21,5.551115123125783e-17,6.555045952854514e-17,6.566573804235059e-17
contractive,14,0.004827124419577811,0.023652211531973444,0.04529279976217698,0.045048667938389186,nan,0.024123352265939816,0.015363678303787655,0.8790525921691114,1.0,0.879022102440947,0.0010263510443299948,0.002502902306466418,4.840140455119196e-05,8e-05,1.0290307670506476,3.3881317890172014e-21,1.1102230246251565e-16,7.595870029906312e-17,7.609739804450992e-17
contractive,15,0.004677176271005883,0.024366189352699314,0.04644446561094441,0.046196541448662046,nan,0.02480140077124283,0.01477834896972989,0.894531734741773,1.0,0.8945244652144254,0.0005953472991011769,0.002533188241422563,5.0303380855551445e-05,8e-05,1.0673140369095162,5.082197683525802e-21,1.6653345369377348e-16,6.886323509161257e-17,6.879945182793278e-17
contractive,16,0.004257173325739959,0.024087054265591958,0.045919737757817006,0.04566253636061227,nan,0.024482840759247518,0.013674960720536616,0.9047227422799141,1.0,0.9047223132896678,0.0005312341407447047,0.0014311744747614833,4.6950819872837586e-05,8e-05,1.033529082934814,1.6940658945086007e-21,5.551115123125783e-17,8.847902007504975e-17,8.848244727095699e-17
contractive,17,0.003846794747873692,0.02320090215738742,0.04582446768498527,0.04556439710509139,nan,0.023544052839082726,0.013137110849191268,0.8636706361354113,1.0,0.8636704063368836,0.00039103472078371327,0.0019265859564117284,4.201565989334127e-05,8e-05,0.9525370005659635,5.082197683525802e-21,2.7755575615628914e-17,6.497150839366789e-17,6.506484997433698e-17
